Question,Response
Game is ready for test. If okay can u check?,"Great to hear that your game is ready for testing! Here are the steps you should follow to ensure everything is set up correctly:

### **1. App Setup and OS Checks**
- **Ensure all setup checks are marked successful (green)**:
  - Verify your game meets all criteria in Homa Lab.
  - If any checks are missing, follow the guidelines to provide the necessary information.
  - Refer to the [App & OS Setup guide](https://www.notion.so/homagames/Completing-App-OS-setup-checks-4c90cb08e5b14ab498a74278ce11f323) for detailed instructions.

### **2. Creatives**
- **Prepare and upload 6-8 creatives**:
  - Ensure they meet the specific requirements.
  - Upload them in the Testing tab under your upcoming test.
  - Your Publishing Manager will verify them.
  - Refer to the [Creative Requirements for Submissions](https://www.notion.so/homagames/Creatives-requirements-for-submissions-b5227f71318941038bc72bcb188fc9ef) for detailed guidelines.

### **3. Verification by Publishing Manager**
- **Contact your Publishing Manager**:
  - They will verify the creatives and confirm that all checks are successfully completed before the test launch.

If you need any further assistance or if something seems unclear, feel free to ask! If everything is set, your Publishing Manager will be the best person to finalize the preparations and launch the test."
The game Farmer Life Simulator 3D is in preparation state and needs approval for testing. Here is the link: https://lab-v2.homagames.com/games/clvjmo95l00fvc7dv27n7pm7z/test-campaigns,"To proceed with the approval for testing your game ""Farmer Life Simulator 3D,"" you'll need assistance from a member of the HomaGames team, such as a Publishing Manager or someone from the Quality Assurance team. 

### Next Steps:
1. **Contact HomaGames Support:**
   - Reach out to HomaGames support through the [Contact Us](https://www.notion.so/homagames/Contact-Us-d8933cf704834a2fbb5fc37b7702c069) page.
   - Provide them with the link to your test campaign and request approval.

2. **SiIT Slackbot:**
   - If you have access, you can also contact the SiIT Slackbot for further assistance.

### Information to Include:
- Game Name: Farmer Life Simulator 3D
- Link to Test Campaign: [Test Campaign Link](https://lab-v2.homagames.com/games/clvjmo95l00fvc7dv27n7pm7z/test-campaigns)

Feel free to reach out if you have any more questions or need further assistance! 😊"
"Where could I an App Privacy info for ""App Store Connect"" iOS?","To find the App Privacy information for ""App Store Connect"" for your iOS application, follow these steps:

1. **Log in to App Store Connect:**
   - Go to [App Store Connect](https://appstoreconnect.apple.com/) and log in with your Apple Developer account.

2. **Select Your App:**
   - In the App Store Connect dashboard, select the app for which you want to view or edit the App Privacy details.

3. **Navigate to App Privacy:**
   - Go to the **App Information** section.
   - Scroll down to the **App Privacy** section.

4. **Review or Edit Privacy Details:**
   - Here, you can review the existing privacy details or click on **Edit** to update the information.
   - You will need to provide details about the data your app collects, how it is used, and whether it is linked to the user.

For more detailed guidance, you can refer to Apple's official documentation on [App Privacy Details on the App Store](https://developer.apple.com/app-store/app-privacy-details/).

If you need further assistance, feel free to ask!"
the app on facebook is live but it is not checked neither is the ad app account id,"To resolve the issue where your app on Facebook is live but the status is not being checked and the ad account ID is not being recognized, please follow these steps:

### 1. Verify App Live Status
Ensure that your app is set to live mode on Facebook:
- Go to your Facebook app dashboard.
- Toggle on the **App Mode** to set it live.

![App Live Toggle](https://support.homagames.com/hubfs/image-png-Sep-11-2023-09-23-53-2885-AM.png)

### 2. Add Ad Account ID
Make sure the ad account ID is correctly added in the ""Advertising Accounts"" field in your Facebook app settings:
- Navigate to **Settings > Advanced** in your Facebook app dashboard.
- Scroll down until you see the **Advertising Accounts** section.
- Copy the ad account ID from the Homa Lab build checks and paste it into the **Advertising Accounts** field.

![Advertising Accounts Field](https://support.homagames.com/hs-fs/hubfs/image-png-Feb-01-2024-09-08-23-6060-AM.png?width=688&height=332&name=image-png-Feb-01-2024-09-08-23-6060-AM.png)

### 3. Confirm App-ads.txt Configuration
Ensure that your app-ads.txt file is correctly configured to include your Facebook app ID:
- Add the following line to your app-ads.txt file, replacing `app ID` with your actual Facebook app ID:
  ```
  facebook.com, app ID, RESELLER, c3e20eee3f780d68
  ```
- Host this file at the root of your website domain, e.g., `https://www.yourwebsite.com/app-ads.txt`.

### 4. Additional Checks
- **Privacy Policy**: Ensure your app has a privacy policy URL set up.
- **Platform Addition**: Verify that the required platforms (iOS/Android) are added to your Facebook app settings.

If you have followed these steps and the issue persists, it may be necessary to contact HomaGames support for further assistance. They can help troubleshoot and resolve any underlying issues.

For more detailed guidance, you can refer to the following documentation:
- [Facebook App Creation Guide](https://support.homagames.com/knowledge/facebook-app-creation)
- [Adding iOS Platform to Facebook App](https://support.homagames.com/knowledge/how-to-add-ios-platform-to-your-facebook-app)

Feel free to reach out if you have any further questions!"
"Hi
May I ask you a question?
I would like to test the game on iOS.
The setup is already finished.
What's the next step?","Of course! Since you've completed the setup for testing your game on iOS, here are the next steps you need to follow:

1. **Ensure All Build Checks Are Met:**
   - Verify that all the build checks for iOS are successfully completed. This includes:
     - **App & OS Setup:** Make sure all the necessary credentials and information are correctly entered.
     - **App Live in the Store:** Ensure your app is live in the App Store of the country selected for the test.

2. **Upload Required Creatives:**
   - Prepare 6-8 creatives that meet the specific requirements for the test.
   - Upload these creatives in the Testing tab under your upcoming test in Homa Lab.

### Helpful Guides:
- [Completing App & OS Setup Checks](https://www.notion.so/homagames/Completing-App-OS-setup-checks-4c90cb08e5b14ab498a74278ce11f323)
- [Creative Requirements for Submissions](https://www.notion.so/homagames/Creatives-requirements-for-submissions-b5227f71318941038bc72bcb188fc9ef)

If you encounter any issues or need further assistance, you might need support from a Publishing Manager (PM) to verify the creatives and ensure all checks are successfully completed.

Feel free to ask if you have any more questions! 😊"
Could I get the rights of the game back when the game has bad KPI and you no longer want it?,"If your game has poor Key Performance Indicators (KPIs) and HomaGames decides not to continue with it, you can discuss reclaiming the rights to your game. To proceed with this, you should contact the publishing managers or the support team at HomaGames. They will guide you through the necessary steps to reclaim your game rights.

You can reach out to them via the [Contact Us](https://www.notion.so/homagames/Contact-Us-d8933cf704834a2fbb5fc37b7702c069) page for further assistance."
Applovin MAX SDK key not found in manifest. Aborting build.,"To resolve the ""Applovin MAX SDK key not found in manifest. Aborting build."" error, you need to ensure that the Applovin MAX SDK key is correctly added to your project's manifest file. Here are the steps to do this:

1. **Locate the Manifest File**:
   - Open your project in your preferred IDE (e.g., Android Studio).
   - Navigate to the `AndroidManifest.xml` file, typically found in the `app/src/main` directory.

2. **Add the Applovin MAX SDK Key**:
   - Ensure that the following meta-data tag is included within the `<application>` tag in your `AndroidManifest.xml` file:
     ```xml
     <meta-data
         android:name=""applovin.sdk.key""
         android:value=""YOUR_APPLOVIN_SDK_KEY"" />
     ```
   - Replace `YOUR_APPLOVIN_SDK_KEY` with your actual Applovin MAX SDK key.

3. **Save and Rebuild**:
   - Save the changes to the `AndroidManifest.xml` file.
   - Rebuild your project to ensure the changes take effect.

If you are unfamiliar with the specific requirements or steps to update the manifest, you may need support from a technical support member or a developer familiar with the Homa Belly SDK integration process.

For further assistance, you can refer to the [Homa Belly SDK documentation](https://www.notion.so/homagames/Homa-Belly-SDK-797d4fade71742818a62cb0159206c27) or contact HomaGames support.

Feel free to ask if you have any more questions! 😊"
"After updating HB, Homa Games DataPrivacy Scene - has been removed from the build","It sounds like the Homa Games DataPrivacy Scene was not included in your build after updating Homa Belly (HB). Here are some steps to help you resolve this issue:

## Steps to Resolve Missing DataPrivacy Scene

### 1. Verify Homa Belly Core Version
Ensure you are using **Homa Belly Core v1.6.0** or later, as the Data Privacy scene is embedded within the Core package starting from this version.

### 2. Check Homa Belly Settings
Make sure the Data Privacy settings are correctly configured in the Homa Belly settings:

- Go to **Window > Homa Games > Homa Belly > Settings**.
- Ensure that the **Game Name** and other relevant fields under the **Data Privacy** section are properly filled out.

### 3. Confirm Scene Inclusion
Verify that the DataPrivacy scene is included in your build settings:

- Go to **File > Build Settings...**.
- Ensure that the DataPrivacy scene is listed as the first scene in the **Scenes in Build** section.

### 4. Manual Scene Addition
If the scene is missing, you can manually add it:

- Locate the DataPrivacy scene in your project files.
- Drag and drop the DataPrivacy scene into the **Scenes in Build** section in the Build Settings.

### 5. Code Integration
Ensure that your code correctly invokes the Data Privacy UI when needed. Here’s a sample code snippet to show the Data Privacy settings:

```csharp
if (HomaGames.HomaBelly.DataPrivacy.Manager.IsGdprProtectedRegion) {
    HomaGames.HomaBelly.DataPrivacy.Manager.Instance.ShowDataPrivacySettings(); 
}
```

### 6. Rebuild the Project
After making these changes, rebuild your project to ensure the DataPrivacy scene is included.

## Additional Resources
For more detailed information, you can refer to the [Data Privacy documentation](https://www.notion.so/homagames/Data-privacy-7d12f1632e3348b6a48ef0f5b3500a29).

If you continue to experience issues, please feel free to reach out to HomaGames support for further assistance.

---

If you have any more questions or need further assistance, feel free to ask! 😊"
"Interstetitial Ad
I could implemented rewarded ads succesfully, however interstitials works on the editor not on devices","It sounds like you've successfully implemented rewarded ads but are encountering issues with interstitial ads working on devices. Here are some steps to troubleshoot and resolve this issue:

## Troubleshooting Steps

1. **Check Initialization**:
   Ensure that the Homa Belly SDK is properly initialized in your project. Initialization should be done before attempting to load or show any ads.

2. **Correct Method Usage**:
   Make sure you are using the correct method to show interstitial ads. Here is the basic code snippet to show an interstitial ad:
   ```csharp
   // Show interstitial
   HomaBelly.Instance.ShowInterstitial(""your_analytics_human_readable_ad_name"");
   ```

3. **Ad Availability**:
   Verify that the interstitial ad is available before attempting to show it. You can use the `IsInterstitialAvailable` method:
   ```csharp
   if (HomaBelly.Instance.IsInterstitialAvailable())
   {
       HomaBelly.Instance.ShowInterstitial(""your_analytics_human_readable_ad_name"");
   }
   else
   {
       // Handle the case where the ad is not available
   }
   ```

4. **Check for Errors**:
   Implement event listeners to catch any errors or issues during the ad loading and showing process. Here are some useful callbacks:
   ```csharp
   HomaGames.HomaBelly.Events.onInterstitialAdLoadFailedEvent += OnInterstitialAdLoadFailedEvent;
   HomaGames.HomaBelly.Events.onInterstitialAdShowFailedEvent += OnInterstitialAdShowFailedEvent;

   private void OnInterstitialAdLoadFailedEvent(AdInfo adInfo)
   {
       Debug.LogError(""Interstitial ad failed to load: "" + adInfo.PlacementId);
   }

   private void OnInterstitialAdShowFailedEvent(AdInfo adInfo)
   {
       Debug.LogError(""Interstitial ad failed to show: "" + adInfo.PlacementId);
   }
   ```

5. **Manifest Configuration**:
   Ensure that your Homa Belly manifest is correctly configured. Sometimes, issues on devices can be due to misconfigurations in the manifest.

6. **Network and Device Logs**:
   Check the device logs for any network-related issues or errors that might be preventing the ads from loading. Ensure that the device has a stable internet connection.

7. **Ad Network Integration**:
   Verify that all required ad network SDKs are correctly integrated and up-to-date. Sometimes, issues can arise from outdated or improperly integrated SDKs.

## Next Steps

If you've gone through these steps and the issue persists, it might be necessary to get more specific support. Here are your options:

- **Contact HomaGames Support**: Reach out to HomaGames support for more detailed assistance. They can help diagnose issues specific to your implementation.
- **SiIT Slackbot**: If you have access, you can also contact the SiIT Slackbot for immediate support.

Feel free to follow up with any additional questions or details about the issue you're facing!"
"IOS build issue with new plugin
I updated the Homa plugin as in the guide. There were no errors during the update. But I get this error while building.

Building Library/Bee/artifacts/iOS/ManagedStripped failed with output:
/bin/sh: /Applications/Unity/Hub/Editor/2022.3.24f1/Unity.app/Contents/il2cpp/build/deploy/UnityLinker: No such file or directory
legateListener.mm
UnityEngine.GUIUtility:ProcessEvent (int,intptr,bool&) (at /Users/bokken/build/output/unity/unity/Modules/IMGUI/GUIUtility.cs:203)

BuildFailedException: Player build failed: Building Library/Bee/artifacts/iOS/ManagedStripped failed with output:
/bin/sh: /Applications/Unity/Hub/Editor/2022.3.24f1/Unity.app/Contents/il2cpp/build/deploy/UnityLinker: No such file or directory
legateListener.mm
UnityEditor.Modules.BeeBuildPostprocessor.PostProcess (UnityEditor.Modules.BuildPostProcessArgs args) (at /Users/bokken/build/output/unity/unity/Editor/Mono/Modules/BeeBuildPostprocessor.cs:725)
UnityEditor.iOS.iOSBuildPostprocessor.PostProcess (UnityEditor.Modules.BuildPostProcessArgs args) (at <70c97341c0c5428e994d49f8a13d9edb>:0)
UnityEngine.GUIUtility:ProcessEvent(Int32, IntPtr, Boolean&) (at /Users/bokken/build/output/unity/unity/Modules/IMGUI/GUIUtility.cs:203)","It looks like you're encountering an issue with a missing `UnityLinker` file during the iOS build process after updating the Homa plugin. Here are a few steps you can take to resolve this issue:

### 1. Verify Unity Installation
Ensure that your Unity installation is complete and that the required files are present. Sometimes, files can be missing or corrupted.

- **Reinstall Unity**: Reinstall the specific version of Unity you're using (2022.3.24f1) to ensure all necessary files are in place.

### 2. Check IL2CPP Installation
Make sure that the IL2CPP scripting backend is properly installed in your Unity Editor.

- **Open Unity Hub**: Go to the ""Installs"" tab.
- **Locate Your Unity Version**: Click on the three dots next to your Unity version and select ""Add Modules"".
- **Ensure IL2CPP is Checked**: Make sure the ""iOS Build Support"" and ""IL2CPP"" options are checked and installed.

### 3. Update Cocoapods
If you are using an Apple M1 chipset machine, you might encounter issues with Cocoapods. Follow these steps to update Cocoapods:

- **Open Terminal**: Navigate to your Unity XCode generated project folder.
- **Run the Following Commands**:
  ```sh
  arch -x86_64 pod install --repo-update
  ```
  If this does not resolve the issue, then:
  ```sh
  gem uninstall cocoapods
  brew install cocoapods
  ```

### 4. Contact HomaGames Support
If the above steps do not resolve the issue, it might be necessary to get support from HomaGames. They can provide more specific guidance based on your project setup.

- **Contact HomaGames Support**: Reach out to HomaGames support through the [Contact Us](https://www.notion.so/homagames/Contact-Us-d8933cf704834a2fbb5fc37b7702c069) page.

### Summary
- **Reinstall Unity** to ensure all files are present.
- **Verify IL2CPP installation** in Unity Hub.
- **Update Cocoapods** if using an Apple M1 chipset.
- **Contact HomaGames Support** if the issue persists.

Feel free to follow up if you have any more questions or need further assistance!"
